trial,mu_true,mu_partial,sigma_exact,sigma_partial,beta_partial,diagonal_memory,partial_to_exact,exact_to_partial,partial_self,physical_mix,partial_coefficient,temperature,operator_target_norm,lp_priority_weight,lp_demand_weight,lp_fairness_weight,lp_lead_weight,weight_demand,weight_backlog,weight_inventory,weight_route,weight_capacity,calibration_objective,calibration_raw_score,regularization_penalty,calibration_shortlist,validation_objective,selected
17,0.7768859865912294,0.5975905003523181,0.19098162577164102,0.28333918348858417,0.7717534968106804,0.42575383137936973,0.34882278097520536,0.08329350882421103,0.9225383807977869,0.4011228431614366,1.0,0.3412574228026157,1.35,1.8,0.2,0.16,0.08,0.4669188722536282,0.38939299908835456,1.045877838791279,0.09664002598129942,1.3220340670309976,0.16674949609641232,0.16712102899555933,0.00037153289914701405,False,,False
18,0.7827903954135458,0.6167580227281836,0.27945877654788287,0.2609194861596624,0.8130716138958513,0.4644799860054222,0.29076400894532883,0.10843366135269017,0.8667154853479059,0.4446425855262497,0.25,1.1248813067375798,1.35,1.8,0.2,0.16,0.08,0.35041499329386583,1.2478563115283832,0.4143181791058407,0.21687473414840835,0.9154283045771716,0.16755992446005605,0.1677424789228659,0.00018255446280984953,False,,False
19,0.8185807033843588,0.5687371490139986,0.1808144348376587,0.24968700073223055,0.9254947687356354,0.41535374292295413,0.3164022631054721,0.1285766760462635,0.9395990756088771,0.4162705076669376,1.0,0.5873965420901415,1.35,1.8,0.2,0.16,0.08,0.5678395497086697,0.754279325146078,0.9932480807121407,0.09084347456691197,1.680343120575359,0.17177891331073455,0.17201085348862194,0.0002319401778873762,False,,False
20,0.845191344293546,0.5884751677401283,0.20270132281055847,0.28688575868516564,0.8682890732716215,0.38144821425411946,0.24151588334496196,0.08488047261093343,0.9095648091604253,0.4385937238353121,0.25,0.7521659543097254,1.35,1.8,0.2,0.16,0.08,0.929020939554374,0.3718536903456061,2.2474911968361653,0.23425311298922913,0.8791432927740711,0.16955801410951243,0.16976347992393187,0.0002054658144194283,False,,False
21,0.8192367781505532,0.6501130526351824,0.23435390636023137,0.276700796095895,0.9141756510611916,0.42739048244488587,0.15877127679722966,0.11353983785711569,0.8822181780038424,0.4876013877138279,1.0,1.4980306461706498,1.35,1.8,0.2,0.16,0.08,0.32107694066325876,2.1704390688514734,1.2962690545185922,0.10162947597873988,3.3196478943240826,0.19362091122893726,0.19376698688599883,0.0001460756570615698,True,0.20045164493537213,False
22,0.7921808379110513,0.6354590816853545,0.21064038763364973,0.27492572807248383,0.8689323186077279,0.45370435694985073,0.2160958485088414,0.12996096503163732,0.8855893177669519,0.5282198297525724,1.0,1.2754024531354577,1.35,1.8,0.2,0.16,0.08,0.3278892327668461,2.047104714481612,1.9957050399969831,0.14770454368576508,3.01290172862089,0.19335230194230138,0.19345752153915774,0.00010521959685635481,True,0.20045995157154062,False
23,0.7749342104382979,0.6554351666734619,0.2083982386813662,0.2848131259367217,0.92692432559348,0.4304937869440565,0.33616400200766966,0.10315180645439373,0.8546837807957545,0.4628022538017994,1.0,1.1760773385527414,1.35,1.8,0.2,0.16,0.08,0.43056744000597846,2.5067344197628514,1.1327616814752892,0.050070507614752374,1.7952017816268917,0.191188886958437,0.1915191235766186,0.0003302366181816083,True,0.20022717951672206,False
24,0.8033309287347055,0.6163974365020479,0.22142693674469835,0.2701160640942239,0.8696482909578322,0.46000431328184543,0.12299007065250739,0.12122499903467351,0.8755578670352787,0.414874225785965,1.0,0.3193077037133833,1.35,1.8,0.2,0.16,0.08,0.2510274791100951,1.385259097217678,3.0069349746717147,0.07886042292876308,3.9787886669338532,0.18391857939175363,0.18417498839302382,0.0002564090012701954,False,,False
25,0.8241086620290217,0.6793239626164871,0.23846570903722622,0.2556307401688598,0.8164717870161623,0.39061217029135786,0.3111116336765276,0.08571415846134765,0.8931312916850453,0.49290720982155073,1.0,0.8274302246546328,1.35,1.8,0.2,0.16,0.08,0.5355689557057878,3.576873203677946,0.5732591731407825,0.12369786402923022,2.0897858089157215,0.18499160597605108,0.18535059201694937,0.0003589860408983006,False,,False
26,0.8098141055104744,0.6408757273382989,0.19090873099908703,0.28744658619893704,0.9041995335820195,0.4235871639662465,0.2714079008429786,0.14174130336433513,0.91325895559291,0.47144674689825894,0.25,1.2953447720177014,1.35,1.8,0.2,0.16,0.08,0.389007727251046,1.5365607179422467,1.6427834766398892,0.18963167301140121,3.0988321468588853,0.19434693188601665,0.19441726993468433,7.033804866768371e-05,True,0.2005756944895098,True
27,0.7945211561812433,0.6271292301384983,0.18522585844902875,0.28909662509234146,0.9136083764468999,0.41714716177178196,0.27542893120828954,0.16210372394190103,0.9161247815466852,0.47220341108656516,0.25,1.1348176918034039,1.35,1.8,0.2,0.16,0.08,0.7616181649302791,1.0561187014575677,1.8860056637169202,0.30528839379325656,1.5766425148302936,0.17068251036358376,0.17083757154563792,0.00015506118205416502,False,,False
