date,split,product,model,active_donors,active_recipients,supply_units,demand_units,allocated_units,service_level,recipient_coverage,fill_gini,unit_miles,holding_days,shipments,operational_score,mean_iterations,convergence_gap,contraction_bound,panel_ambiguity
2020-06-19 00:00:00+00:00,validation,respirators,ACM-4 (coupled),1,4538,1000.0,5865462.0,1000.0,0.0059967707609797005,0.01123843102688409,0.995948811709785,5.1795,5.979548611111111,1,0.19558015082925506,3.0,1.1578898767183876e-05,0.3532410354887873,0.24481747826384276
2020-06-19 00:00:00+00:00,validation,surgicalMasks,ACM-4 (coupled),3,3162,1110.0,5491492.0,1110.0,0.007195433633733767,0.008852355358836548,0.9961115164341898,8.606662162162163,3.564568005505506,3,0.19928135191009674,3.0,2.4308463053956952e-05,0.3532410354887874,0.27883010791036766
2020-06-19 00:00:00+00:00,validation,faceShields,ACM-4 (coupled),4,3257,850.0,2516910.0,850.0,0.014873258009739054,0.018081520073551946,0.9922895722718006,109.8225294117647,1.6092824074074075,4,0.2049252175413654,3.0,1.2008008301034323e-05,0.3532410354887873,0.26897002772414014
2020-06-19 00:00:00+00:00,validation,gowns,ACM-4 (coupled),1,3628,100.0,7610265.0,100.0,0.0005803337385207124,0.006615214994487321,0.997648224515453,122.02849999999998,3.3454282407407407,1,0.19268394525277893,3.0,1.5215631661846807e-05,0.3532410354887874,0.25357190166177046
2020-06-26 00:00:00+00:00,validation,respirators,ACM-4 (coupled),1,4648,800.0,5889313.0,800.0,0.00610664552576817,0.011187607573149742,0.9958860317472431,14.095999999999998,5.375034722222222,1,0.1963287636074873,3.0,1.2960096706426949e-05,0.3532410354887874,0.21629367452714973
2020-06-26 00:00:00+00:00,validation,surgicalMasks,ACM-4 (coupled),1,3257,600.0,5522913.0,600.0,0.007261215541719362,0.008901166359729895,0.996025377524774,21.963,3.279421296296296,1,0.19936383936408564,3.0,1.4343173751374394e-05,0.3532410354887873,0.24855696722972861
2020-06-26 00:00:00+00:00,validation,faceShields,ACM-4 (coupled),3,3325,302.0,2523605.0,302.0,0.014947345244675968,0.018613029120384268,0.9923265259569956,5.1795,0.9761710510179051,3,0.20961992117263706,3.0,9.595563629893888e-06,0.3532410354887873,0.28679989577703313
2020-07-03 00:00:00+00:00,test,respirators,ACM-4 (coupled),1,4727,3.0,5902828.0,3.0,0.006092431598004246,0.011212185318383753,0.9959502657442638,5.1795,0.7224652777777778,1,0.20436858544374836,3.0,1.2802945753509487e-05,0.35324103548878744,0.20589924548716154
2020-07-03 00:00:00+00:00,test,surgicalMasks,ACM-4 (coupled),3,3325,1330.0,5567890.0,1330.0,0.007439354868389285,0.009621166566446182,0.9958259232295708,54.17802631578948,1.8442693539404065,3,0.20096416473253997,3.0,9.050740923055578e-06,0.3532410354887874,0.28772025712050747
2020-07-03 00:00:00+00:00,test,faceShields,ACM-4 (coupled),2,3379,30.0,2528258.0,30.0,0.014930176614727881,0.018906942392909895,0.9924323771204253,11.998083333333334,3.9287017746913575,2,0.2045180495870338,3.0,1.2263105468091062e-05,0.3532410354887874,0.2574791557975878
