product,timestamp,month,split,model,n_events,allocation_overlap,priority_overlap,js_distance,priority_js_distance,ndcg_all,recipient_average_precision,recipient_recall_at_observed_k,dispatch_fraction,panel_ambiguity,n_candidates,n_observed_recipients,observed_quantity
gown,2021-05-01,2021-05-01,test,ACM-4 (independent),2,0.0,0.007840995748479301,1.0,0.98342170745784,0.1727481883988237,0.017485955056179774,0.0,1.0,0.1820020432573107,93,2,1200.0
gown,2021-06-01,2021-06-01,test,ACM-4 (independent),5,0.0,0.06738564870936598,1.0,0.9215188027137802,0.23461559134242757,0.09055862977602108,0.0,1.0,0.1732605272141871,58,5,4560.0
n95,2020-04-01,2020-04-01,calibration,ACM-3,3,0.0,0.002112437274164367,1.0,0.9945992064394777,0.14577085106828766,0.0031500024011187648,0.0,1.0,0.30730955021522344,2136,4,405.0
n95,2020-05-01,2020-05-01,calibration,ACM-3,54,0.0,0.03151500129248436,1.0,0.9640125500541443,0.19665385303667385,0.03410620791966758,0.02631578947368421,1.0,0.32378178263704255,2446,76,25122.0
n95,2020-06-01,2020-06-01,calibration,ACM-3,11,0.0,0.005108536869682015,0.9999999999999999,0.9905168250807814,0.12713693326710715,0.004454214388434055,0.0,1.0,0.31759398555409746,2546,19,1905.0
n95,2020-07-01,2020-07-01,validation,ACM-3,3,0.0,0.004528105714919453,0.9999999999999999,0.9907342426051742,0.15084862198445842,0.0050712591757395625,0.0,1.0,0.2926014835549297,2492,10,2680.0
n95,2020-08-01,2020-08-01,validation,ACM-3,1,0.0,0.0005105194129668579,1.0,0.9984188442955243,0.10858407771867859,0.001692047377326565,0.0,1.0,0.1787497240185812,696,1,40.0
n95,2020-09-01,2020-09-01,validation,ACM-3,2,0.0,0.00600933289776517,1.0,0.9869678860433483,0.16497968135805582,0.012590996880106967,0.0,1.0,0.2671139734530048,168,2,300.0
n95,2021-01-01,2021-01-01,test,ACM-3,3,0.0,0.010134503183713322,1.0,0.9795595658314418,0.2219836938499395,0.024036399466759402,0.0,1.0,0.22615290607760555,96,3,720.0
n95,2021-02-01,2021-02-01,test,ACM-3,1,0.0,0.004215383708454661,1.0,0.9901125699053944,0.14662371845531105,0.008928571428571428,0.0,1.0,0.20175336052283388,148,1,1000.0
n95,2021-03-01,2021-03-01,test,ACM-3,3,0.0,0.019133880172546164,1.0,0.9764613529354568,0.1528782502213485,0.03628126727473742,0.0,1.0,0.21695698213426112,203,3,5460.0
n95,2021-04-01,2021-04-01,test,ACM-3,1,0.0,0.008239111073051248,1.0,0.9826044068354135,0.19342640361727081,0.02857142857142857,0.0,1.0,0.2090992800613063,158,1,500.0
n95,2021-05-01,2021-05-01,test,ACM-3,2,0.0,0.007892020672497436,1.0,0.9866407260566348,0.1478923448711953,0.013051513051513051,0.0,1.0,0.1904103414318329,161,2,1121.0
