product,timestamp,split,model,iterations,convergence_gap,active_nodes,operator_scale,operator_norm,contraction_bound
surgical_mask,2020-10-05 20:57:26.215000+00:00,validation,ACM-4 (independent),6,5.172670815781211e-05,70,0.42585273945432395,1.2625660906518803,0.34121011597570045
surgical_mask,2020-10-05 21:04:13.973000+00:00,validation,ACM-4 (independent),3,5.551731066327781e-05,70,0.42585273945432395,1.2625660906518803,0.34121011597570045
surgical_mask,2020-10-06 05:38:05.418000+00:00,validation,ACM-4 (independent),5,5.993921723285167e-05,71,0.42419049919633145,1.2607499070727946,0.34071929001875345
surgical_mask,2020-12-02 21:25:06.171000+00:00,validation,ACM-4 (independent),7,2.9666661857274956e-05,37,0.6021431232306453,1.2445791011061886,0.3363491088297138
surgical_mask,2020-12-03 18:19:01.251000+00:00,validation,ACM-4 (independent),5,5.9299962497205705e-05,36,0.606333256450733,1.2478413960790309,0.3372307482577581
surgical_mask,2020-12-18 04:45:07.644000+00:00,validation,ACM-4 (independent),6,5.550595915948531e-05,39,0.5831589645782445,1.2481677745162583,0.33731895245177446
surgical_mask,2020-12-18 04:49:22.924000+00:00,validation,ACM-4 (independent),3,5.2614849138710174e-05,39,0.5831589645782445,1.2481677745162583,0.33731895245177446
surgical_mask,2020-12-18 04:49:46.143000+00:00,validation,ACM-4 (independent),3,5.281305695270522e-05,39,0.5831589645782445,1.2481677745162583,0.33731895245177446
surgical_mask,2021-01-04 17:17:46.908000+00:00,test,ACM-4 (independent),5,7.969853227673962e-05,39,0.5831426526486505,1.2481535954724754,0.33731512054688695
surgical_mask,2021-01-04 17:18:07.925000+00:00,test,ACM-4 (independent),3,8.977764114415088e-05,39,0.5831426526486505,1.2481535954724754,0.33731512054688695
surgical_mask,2021-01-04 17:18:58.990000+00:00,test,ACM-4 (independent),4,2.5088615022761385e-05,39,0.5831426526486505,1.2481535954724754,0.33731512054688695
surgical_mask,2021-02-20 01:30:55.858000+00:00,test,ACM-4 (independent),5,2.9212632046360376e-05,117,0.3340390411897832,1.255912248399421,0.3394119065168408
surgical_mask,2021-02-23 03:43:14.625000+00:00,test,ACM-4 (independent),6,1.6717630451579257e-05,115,0.33619482341819584,1.2563318213389247,0.3395252966454117
surgical_mask,2021-02-25 19:43:25.318000+00:00,test,ACM-4 (independent),5,7.653724408790419e-05,115,0.3357975304950131,1.2560915723254165,0.33946036903934884
surgical_mask,2021-02-25 19:44:34.146000+00:00,test,ACM-4 (independent),3,6.594271094950699e-06,115,0.3357975304950131,1.2560915723254165,0.33946036903934884
surgical_mask,2021-03-03 00:17:03.836000+00:00,test,ACM-4 (independent),4,3.200110822912383e-05,113,0.3364336470899064,1.257470711693523,0.33983308323405315
surgical_mask,2021-03-06 00:53:36.189000+00:00,test,ACM-4 (independent),5,5.3173440219905777e-05,110,0.3392024836015433,1.2591433857997982,0.3402851255707019
surgical_mask,2021-03-13 00:57:01.328000+00:00,test,ACM-4 (independent),5,3.6922757347068735e-05,144,0.3046835104668303,1.249947893792774,0.33780003198439273
surgical_mask,2021-03-13 00:57:01.522000+00:00,test,ACM-4 (independent),2,4.825432504751426e-05,144,0.3046835104668303,1.249947893792774,0.33780003198439273
surgical_mask,2021-03-13 00:57:02.628000+00:00,test,ACM-4 (independent),3,9.325216055255936e-05,144,0.3046835104668303,1.249947893792774,0.33780003198439273
surgical_mask,2021-03-25 17:44:56.969000+00:00,test,ACM-4 (independent),5,7.880059600839928e-06,160,0.2880528176171844,1.2507537391521408,0.3380178127331107
surgical_mask,2021-03-27 01:56:52.370000+00:00,test,ACM-4 (independent),4,7.056409358020821e-05,160,0.2880528176171844,1.2507537391521408,0.3380178127331107
surgical_mask,2021-03-27 01:57:08.193000+00:00,test,ACM-4 (independent),3,1.0079491955750086e-05,160,0.2880528176171844,1.2507537391521408,0.3380178127331107
surgical_mask,2021-03-27 01:57:21.410000+00:00,test,ACM-4 (independent),3,6.385921623008883e-05,160,0.2880528176171844,1.2507537391521408,0.3380178127331107
surgical_mask,2021-05-20 23:26:36.764000+00:00,test,ACM-4 (independent),5,6.296224176693954e-05,149,0.2866657430659664,1.272869770272183,0.3439946986951719
surgical_mask,2021-05-26 19:37:53.885000+00:00,test,ACM-4 (independent),4,7.125766288962332e-05,153,0.2835985811828916,1.2716736594589206,0.34367144820370477
surgical_mask,2021-05-26 19:44:19.530000+00:00,test,ACM-4 (independent),3,3.8022741467080845e-05,153,0.2835985811828916,1.2716736594589206,0.34367144820370477
surgical_mask,2021-06-23 17:12:28.594000+00:00,test,ACM-4 (independent),5,2.1180993358016487e-05,103,0.3484240414092989,1.265684652567132,0.342052911359371
surgical_mask,2021-06-27 20:57:23.453000+00:00,test,ACM-4 (independent),5,4.2462160683043315e-05,103,0.3484240414092989,1.265684652567132,0.342052911359371
surgical_mask,2021-06-27 20:57:23.819000+00:00,test,ACM-4 (independent),3,9.458698884692862e-05,103,0.3484240414092989,1.265684652567132,0.342052911359371
surgical_mask,2021-06-27 20:57:24.427000+00:00,test,ACM-4 (independent),4,1.0619351533569521e-05,103,0.3484240414092989,1.265684652567132,0.342052911359371
surgical_mask,2021-07-09 00:18:56.401000+00:00,test,ACM-4 (independent),5,1.8754757175054593e-05,84,0.3884304457485414,1.2618699665781605,0.34102198754607915
surgical_mask,2021-07-12 01:19:52.831000+00:00,test,ACM-4 (independent),5,2.7117124198956788e-05,69,0.4298422888024973,1.258731805162474,0.34017389537211307
face_shield,2020-04-24 00:00:00+00:00,calibration,ACM-4 (independent),4,7.135809310443442e-06,1359,0.09961259920252813,1.2611419071893986,0.3408252285563391
face_shield,2020-04-25 00:00:00+00:00,calibration,ACM-4 (independent),3,3.8501898994680595e-05,1472,0.0949256132283356,1.265179085728045,0.3419162812684193
