trial,mu_true,mu_partial,sigma_exact,sigma_partial,beta_partial,diagonal_memory,partial_to_exact,exact_to_partial,partial_self,physical_mix,partial_coefficient,temperature,weight_demand,weight_backlog,weight_inventory,weight_route,weight_capacity,calibration_objective,calibration_raw_score,regularization_penalty,calibration_shortlist,selected,validation_objective,validation_overlap,validation_priority_overlap,validation_ndcg_all
20,0.8473661102672682,0.6325630809351067,0.20579707026241198,0.2289409098964402,0.8905847396314546,0.37876640743417145,0.21168297248427645,0.12511127159401556,0.8494007496498438,0.4398013363418697,0.75,0.28126043782342924,1.1405833239261562,0.5048059367206575,0.8193392006851418,1.1089994681092952,0.686737105128795,0.004899216811968018,0.0052209785941114565,0.0003217617821434386,True,False,0.041121580006844564,0.0498676081200353,0.01742485554012696,0.1816155455859122
21,0.8445134121171767,0.6358328059578743,0.20757755570604433,0.22385302751372205,0.9020955908633581,0.38561289301898405,0.2232321322195741,0.12542036604699747,0.8495975262630359,0.4392488679090164,0.75,0.2758207435044868,1.1387717789107858,0.6154775908825646,0.823799333851626,1.075349322513612,0.6926647569274703,0.004777749537052537,0.005081757803298173,0.0003040082662456351,True,False,0.01648268391116755,0.005736981465136805,0.016827379819698354,0.18042377995738848
22,0.8085682255065214,0.620991753578082,0.19145124285833454,0.2288340649070656,0.8380636910572887,0.3729479340814514,0.19772645607632738,0.10737660206525647,0.8371257383852958,0.4594974179933362,0.75,0.3228445417815146,1.4981146547173674,0.5200578345299536,0.7893468946969356,1.3697764871480442,0.8471214501451463,0.004908083770903205,0.005355338645340743,0.0004472548744375383,True,True,0.04127647599596899,0.0498676081200353,0.01775255242541065,0.18324128231990636
23,0.8265603597544245,0.6332587722797118,0.20722986052981177,0.21217158490966093,0.8738781457309482,0.3697897029258577,0.1279601408771141,0.10734098892201172,0.8336022701159684,0.5039230997586082,0.75,0.29242600133883123,1.4976068626771275,0.5238291793064499,0.8045443474746317,1.3740791342019072,0.673945958639417,0.004574108261212542,0.005339081049946836,0.0007649727887342934,False,False,,,,
24,0.84991308676047,0.6255829229801122,0.19506625538917838,0.22985813295714164,0.9193477422108515,0.36703893197500914,0.21442620115485655,0.09202433625193,0.8001972317000242,0.46766479189742366,0.75,0.25599479550767557,1.7245193257483562,0.5027422157947159,0.8066765824603865,0.9082249252921009,1.084576079234978,0.004599586368614183,0.005433628681670897,0.000834042313056714,False,False,,,,
25,0.7886905767189492,0.6457804908725873,0.20658801551680148,0.24666464913057654,0.806533583146213,0.3535944658244323,0.23941356033952987,0.11573174188520052,0.8421652894975651,0.4505170303704202,0.75,0.31957392328994505,1.378548881485391,0.5909297316951416,0.7026887039127547,1.5512842715213282,0.7640876330935518,0.004748631849865007,0.005223493691273725,0.0004748618414087179,False,False,,,,
26,0.7600691831868581,0.6093328420677603,0.18013803964863692,0.21358858797954428,0.847277874098083,0.38204375839612387,0.18111191302097862,0.10216590776476864,0.8157500406799201,0.47273230338021127,0.75,0.2661136789209914,1.0560002580677303,0.7897844331155126,0.6139107987310344,1.291343849964276,0.8907599112111687,0.003705577391834907,0.004828060084473219,0.0011224826926383119,False,False,,,,
27,0.80586845302808,0.6463442124199886,0.2137002822317527,0.23068396346660192,0.8702139358430913,0.4028496183357122,0.25175605763013503,0.08142384447661302,0.8537832709919693,0.5024272281553345,0.5,0.29900579545815237,0.8486081469852425,0.5953645066408816,0.8605469257959037,1.5052674565795536,0.6158177322199524,0.004655131984390184,0.004974683524626026,0.0003195515402358427,False,False,,,,
28,0.8268699259613259,0.6110913813730355,0.19355744076173542,0.2432001348032492,0.9034003868141091,0.35550655768933104,0.20779896877759418,0.1434779613928419,0.8235854397200936,0.4509180945498267,1.0,0.35860690128736694,1.113523083931413,0.5113774081661635,0.7404076676090381,1.2584953412640587,1.351901980197011,0.00464396069422756,0.005224546452493489,0.0005805857582659287,False,False,,,,
29,0.8206118785214926,0.6229698853111709,0.22207224468724604,0.2178212076565852,0.8052332301107703,0.3434934175245067,0.144181517037569,0.12281095207862262,0.8928980405058107,0.43955727759182417,0.75,0.32544605416934225,0.7412154063787433,1.0032924106269987,0.9327339114137588,1.0254723572435192,0.9793025436394763,0.004027805843491919,0.0046549186114454855,0.0006271127679535661,False,False,,,,
